id,,Totals,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
29,Chatham University,657.4425305,7,10,7,7,7,10,7,10,10,2.180589681,2.57985258,10,7,10,0,1.963190184,7,7,5,5,20,15,0,19.306,7,7,7,50,20.16965224,7,7,7,6.919045644,9.99,6.688293194,0,4.857142857,9.6,4.2,10,10,7,0,0,7,7,7,0,14.5782864,10.37147776,10,20,30,30,10,30,15,25,0,0,7,40,26.039
30,Clark University,541.3147803,7,7.5,7,7,7,10,7,10,0,0,0,0,7,0,0,4.540816327,7,5.25,6.211577852,0,20,10,0,13.2,7,7,7,50,0,7,7,0,0,0,1.5,0,7.863636364,19,2.8,10,10,7,0,0,7,7,7,0,15.40594974,0,10,20,30,10.5,10,30,0,25,15,0,7,40,28.5428
31,Clarkson University,643.1755842,7,10,7,7,7,10,7,10,0,6.454720617,3.757225434,10,7,10,10,3.4,7,5.25,0,3.837681216,20,25,0,,7,7,7,16.6,15.46469729,7,7,0,0,9.99,15,0,1.014492754,15,1.6,10,10,7,0,0,0,0,7,25,12.70676692,15,10,20,0,30,10,30,15,25,15,20,7,40,48.1
32,Coastal Carolina University,554.735926,7,7.5,7,4.2,7,0,7,10,10,0.08291873964,2.542841349,0.09250693802,7,10,10,0.641025641,5.833333333,7,0,7.380259834,20,10,15,13,7,7,7,16.6,16.13154154,7,0,0,0,9.99,1.5,0,5.139303483,4,0.6,10,0,7,0,0,7,0,7,0,12.72219519,20,10,20,30,27,10,30,15,25,0,0,7,40,26.78
33,Colby College,722.8826392,7,10,7,7,7,10,7,10,10,3.191489362,7.517730496,10,7,10,0,2.89017341,7,7,0,5.91087694,20,20,15,14,7,7,7,16.6,21.9257112,7,7,0,7,9.99,15,7,0.3823529412,19.04,3.936,10,10,7,7,7,7,0,7,25,14.1739578,17.32434709,5,20,30,24,10,30,15,25,0,0,7,40,65
34,Colgate University,684.2870421,7,10,7,7,7,10,7,10,0,0.888030888,2.239382239,10,0,10,0,1.399317406,6.125,7,0.04724446649,0.1724605077,20,20,0,13.918,7,7,0,25.94272932,16.14088545,7,7,0,7,9.99,11.40654204,7,0.6666666667,20,3.4,10,10,7,7,7,7,7,7,25,13.79294051,17.86184264,10,20,30,30,10,30,15,25,0,0,7,40,62.296
35,College of Charleston,483.0429478,7,10,7,6.3,7,10,7,10,10,0.2198492462,2.167085427,5.217391304,7,10,0,0.32,7,5.25,0.05409203364,0,20,25,0,11.6,7,7,7,0,0,0,0,0,7,0,6.890153508,0,13.0952381,12,10.2,10,10,7,7,0,7,0,7,25,12.42913819,0,0,20,0,0,10,30,0,25,0,0,7,40,27.3
36,College of the Atlantic,750.8362603,7,10,7,6.3,7,10,7,10,10,6.097560976,10,10,7,10,10,7.647058824,7,7,0,0,20,20,0,16,7,7,7,26.57598098,22.90317956,7,7,0,4.55556246,9.99,14.5185515,0,4.444444444,17,12,10,10,7,7,7,7,0,7,0,16.47058824,13.33333333,10,20,30,27,10,30,15,25,15,20,7,40,65
37,Colorado College,661.0233887,7,10,7,7,7,10,7,10,10,2.173913043,2.173913043,10,7,10,0,1.38121547,6.3,5.25,0,0,20,15,15,14.4,7,7,7,50,17.07184294,7,7,0,7,9.99,1.5,0,2,14.6,6.128,10,10,7,0,0,7,0,0,25,15.11390416,0,10,20,30,24,10,30,15,25,0,20,7,40,28.9406
38,Colorado State University,757.0959795,7,10,7,7,7,10,7,10,0,1.731418919,9.33277027,10,7,10,10,5.255712731,7,7,0.1200161223,7.214406713,20,20,0,14.3,7,7,7,41.33207741,15.28595451,7,7,7,6.144368121,9.99,8.298169014,0,0.5294117647,13.072,6,10,10,7,7,7,7,7,7,25,18.33756381,17.9381101,10,20,30,30,10,30,15,25,15,20,7,40,45.214
